ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
FIL,2026050805,1,2,58501.94070000035,0,0,58501.94070000035,100,2,1,0,2026-05-08 05:00:00+00:00,,,,,long,False,False,1.09,0.012935779816513726,0.004403669724770465,0.01431192660550451,0.11073394495412847,0.16091743119266044
FIL,2026050806,1,2,58501.94070000035,0,0,58501.94070000035,100,2,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.1041,-0.0038040032605741736,-0.00480028982881997,-0.009147722126618962,0.09039036319173976,0.1551489901277059
FIL,2026050807,1,2,58501.94070000035,0,0,58501.94070000035,100,2,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.0999,-0.004636785162287604,-0.005818710791890336,-0.017819801800163737,0.0961905627784343,0.14883171197381584
FIL,2026050808,1,2,58501.94070000035,0,0,58501.94070000035,100,2,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.0948,0.003653635367190322,0.009864815491413825,0.011691633175008986,0.10586408476434062,0.152630617464377
FIL,2026050809,1,2,58501.94070000035,0,0,58501.94070000035,100,2,1,0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.0988,-0.0048234437568257515,-0.00436840189297405,0.03704040771750994,0.12495449581361484,
FIL,2026050810,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 10:00:00+00:00,0.0,2200.580000000009,2200.580000000009,0.0,long,True,False,1.0935,0.01106538637402843,-0.012071330589848994,0.11028806584362139,0.17064471879286702,
FIL,2026050811,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.1056,-0.010492040520983958,0.0018089725036178894,0.09506150506512312,0.16325976845151957,
FIL,2026050812,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.094,-0.012522851919561262,0.041590493601462386,0.10045703839122466,0.15429616087751352,
FIL,2026050813,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.0803,0.025270758122743597,0.12385448486531514,0.11607886698139391,0.16643524946774035,
FIL,2026050814,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.1076,0.02880101119537737,0.09308414590104741,0.09308414590104741,0.16549295774647899,
FIL,2026050815,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.1395,0.06546731022378238,0.056516015796401975,0.08477402369460285,0.13892057920140433,
FIL,2026050816,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.2141,-0.0028004283007988517,-0.006918705213738496,0.05436125525080304,0.0439008318919365,
FIL,2026050817,1,2,60702.52070000036,0,0,60702.52070000036,100,2,1,0,2026-05-08 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,1.2107,-0.005616585446436062,0.0,0.06227802097959856,0.04518047410588921,
